iter	Logloss
0	0.6866232793
1	0.681882491
2	0.6769067418
3	0.671150969
4	0.6669024873
5	0.6620335162
6	0.6580033468
7	0.6534650486
8	0.6487291472
9	0.6440183403
10	0.6390457289
11	0.6348641813
12	0.6305899022
13	0.6274817473
14	0.6240588804
15	0.6210276858
16	0.61668845
17	0.6124572104
18	0.6094875444
19	0.6060002102
20	0.6035423028
21	0.5994829477
22	0.5971946776
23	0.5941051362
24	0.591998411
25	0.5890788178
26	0.5864782234
27	0.5827652939
28	0.580363244
29	0.5781191564
30	0.575577379
31	0.5737018752
32	0.5709862004
33	0.56889159
34	0.5655489898
35	0.5633395332
36	0.5598888058
37	0.5566285163
38	0.5544938169
39	0.5526491189
40	0.5502637707
41	0.5487227876
42	0.5471091556
43	0.5445750171
44	0.5420278286
45	0.5384924185
46	0.5358129241
47	0.5322041428
48	0.5294685717
49	0.5270475981
50	0.5239847087
51	0.5216533716
52	0.5187682198
53	0.515251206
54	0.5129833596
55	0.5102873741
56	0.5085610927
57	0.5072249896
58	0.5050493925
59	0.5031887244
60	0.500910618
61	0.4979486065
62	0.4949972404
63	0.4930170286
64	0.4916202569
65	0.4901174375
66	0.4889339777
67	0.4863995566
68	0.4846082113
69	0.4818934956
70	0.4801908688
71	0.478625809
72	0.4773337459
73	0.475308777
74	0.4737340957
75	0.4711658553
76	0.469147381
77	0.4679413198
78	0.4660685017
79	0.4635533555
80	0.4623579903
81	0.4608420602
82	0.459174495
83	0.4571555604
84	0.4560963514
85	0.4546368823
86	0.4527798525
87	0.4509858174
88	0.4489909647
89	0.4465245766
90	0.4437545255
91	0.4419682682
92	0.4404082989
93	0.4385120831
94	0.4369153735
95	0.4353556156
96	0.4342424343
97	0.4330407078
98	0.4314369454
99	0.4298421632
100	0.4283424544
101	0.4268978377
102	0.4254881408
103	0.4236559917
104	0.42225396
105	0.4208121468
106	0.4196901439
107	0.4186406014
108	0.4171549766
109	0.4154026155
110	0.4141098244
111	0.4126270024
112	0.4116617091
113	0.4100935711
114	0.408899139
115	0.4076094251
116	0.4059267872
117	0.4045569018
118	0.4033766392
119	0.4021337895
120	0.4005705721
121	0.3997739584
122	0.3984404219
123	0.3973599863
124	0.3963867829
