iter	Passed	Remaining
0	123	123294
1	174	86953
2	321	106882
3	348	86729
4	421	83939
5	500	82946
6	549	77903
7	634	78708
8	719	79262
9	756	74934
10	964	86714
11	1032	84968
12	1078	81916
13	1126	79308
14	1339	87946
15	1405	86459
16	1520	87907
17	1566	85459
18	1703	87950
19	1848	90567
20	1987	92664
21	2085	92717
22	2111	89707
23	2220	90283
24	2279	88916
25	2345	87847
26	2411	86907
27	2441	84758
28	2595	86911
29	2619	84707
30	2678	83717
31	2703	81788
32	2826	82831
33	2902	82456
34	2930	80786
35	3037	81348
36	3105	80837
37	3132	79306
38	3226	79515
39	3355	80537
40	3384	79159
41	3467	79101
42	3494	77767
43	3560	77358
44	3631	77070
45	3707	76891
46	3908	79258
47	3934	78036
48	3993	77503
49	4019	76370
50	4128	76823
51	4198	76537
52	4278	76451
53	4350	76209
54	4379	75243
55	4458	75160
56	4542	75158
57	4573	74282
58	4644	74078
59	4716	73899
60	4741	72994
61	4808	72754
62	4878	72560
63	4956	72485
64	5023	72260
65	5048	71439
66	5207	72520
67	5232	71719
68	5315	71726
69	5389	71601
70	5414	70848
71	5485	70697
72	5561	70624
73	5591	69971
74	5668	69908
75	5697	69268
76	5768	69142
77	5795	68502
78	5868	68418
79	6012	69149
80	6039	68527
81	6095	68237
82	6123	67652
83	6289	68589
84	6318	68019
85	6393	67953
86	6487	68079
87	6510	67468
88	6595	67507
89	6728	68035
90	6757	67498
91	6828	67390
92	6853	66839
93	6909	66599
94	7030	66975
95	7121	67062
96	7222	67233
97	7248	66714
98	7385	67212
99	7410	66697
100	7460	66401
101	7520	66207
102	7586	66067
103	7612	65583
104	7677	65443
105	7707	65004
106	7777	64911
107	7842	64776
108	7871	64345
109	7924	64116
110	7948	63660
111	8025	63632
112	8096	63550
113	8174	63529
114	8197	63088
115	8267	63005
116	8351	63027
117	8377	62619
118	8442	62503
119	8467	62098
120	8526	61940
121	8600	61896
122	8673	61840
123	8702	61482
124	8736	61158
125	8807	61091
126	8882	61057
127	8955	61011
128	8982	60650
129	9052	60583
130	9103	60387
131	9128	60029
132	9203	59996
133	9232	59665
134	9307	59636
135	9382	59609
136	9415	59310
137	9512	59418
138	9588	59393
139	9614	59061
140	9675	58947
141	9750	58912
142	9791	58679
143	9908	58898
144	9998	58955
145	10073	58922
146	10160	58957
147	10221	58844
148	10254	58567
149	10312	58437
150	10386	58397
151	10423	58152
152	10511	58191
153	10558	58005
154	10645	58034
155	10702	57903
156	10751	57730
157	10810	57610
158	10861	57450
159	10891	57180
160	10953	57081
161	10978	56791
162	11024	56612
163	11174	56961
164	11273	57050
165	11331	56931
166	11376	56744
167	11398	56450
168	11464	56372
169	11490	56102
170	11548	55986
171	11604	55863
172	11630	55598
173	11726	55667
174	11752	55403
175	11829	55383
176	11876	55222
177	11905	54977
178	11965	54879
179	11987	54609
180	12050	54528
181	12096	54369
182	12121	54117
183	12180	54018
184	12248	53958
185	12275	53721
186	12316	53545
187	12342	53307
188	12406	53235
189	12452	53085
190	12481	52865
191	12527	52721
192	12554	52494
193	12625	52452
194	12675	52325
195	12704	52114
196	12768	52046
197	12795	51828
198	12830	51644
199	12897	51588
200	12939	51434
201	12963	51210
202	13009	51076
203	13073	51013
204	13098	50795
205	13147	50677
206	13211	50612
207	13238	50408
208	13281	50267
209	13344	50201
210	13372	50004
211	13433	49930
212	13503	49894
213	13534	49711
214	13598	49651
215	13622	49445
216	13648	49248
217	13717	49206
218	13744	49014
219	13767	48813
220	13824	48731
221	13851	48542
222	13890	48400
223	13954	48343
224	13999	48220
225	14027	48040
226	14145	48168
227	14170	47981
228	14244	47958
229	14299	47872
230	14327	47697
231	14389	47632
232	14456	47586
233	14485	47417
234	14535	47318
235	14583	47210
236	14608	47031
237	14669	46968
238	14763	47009
239	14792	46843
240	14836	46725
241	14860	46546
242	14923	46490
243	14973	46394
244	15028	46313
245	15081	46225
246	15147	46177
247	15181	46033
248	15224	45918
249	15274	45822
250	15344	45787
251	15379	45651
252	15406	45487
253	15479	45464
254	15521	45347
255	15546	45181
256	15597	45091
257	15624	44934
258	15658	44798
259	15699	44682
260	15737	44560
261	15766	44411
262	15880	44500
263	15943	44448
264	15969	44292
265	16018	44201
266	16070	44117
267	16099	43972
268	16146	43877
269	16207	43819
270	16236	43677
271	16272	43552
272	16315	43447
273	16341	43298
274	16397	43230
275	16474	43216
276	16503	43075
277	16529	42928
278	16558	42790
279	16595	42674
280	16658	42625
281	16690	42494
282	16771	42490
283	16796	42346
284	16857	42291
285	16908	42210
286	16936	42074
287	16992	42009
288	17049	41946
289	17117	41909
290	17148	41780
291	17224	41762
292	17285	41710
293	17318	41587
294	17371	41514
295	17420	41433
296	17446	41295
297	17555	41356
298	17607	41280
299	17631	41139
300	17708	41124
301	17773	41079
302	17796	40938
303	17838	40841
304	17909	40809
305	17936	40679
