iter	Logloss
0	0.6855803713
1	0.6786112917
2	0.6717672049
3	0.666988422
4	0.6618638293
5	0.6561786237
6	0.6499977744
7	0.6443718617
8	0.6391085068
9	0.6331702245
10	0.6275941627
11	0.6231845694
12	0.6162813584
13	0.6118133714
14	0.6074512123
15	0.6018868406
16	0.5967720833
17	0.5921320625
18	0.5878942219
19	0.58389552
20	0.5796621193
21	0.5746664535
22	0.5711639573
23	0.5669674812
24	0.5639019539
25	0.5604353706
26	0.5561935959
27	0.553471574
28	0.5500636654
29	0.5451622501
30	0.5419052995
31	0.5393069778
32	0.5346100809
33	0.5317967311
34	0.5284350766
35	0.5259073444
36	0.5241687978
37	0.5206641097
38	0.5168727362
39	0.5136327585
40	0.5115733559
41	0.508418243
42	0.5073504088
43	0.5039785255
44	0.5016979126
45	0.4981382591
46	0.4962928168
47	0.4935747291
48	0.4908280908
49	0.4878875002
50	0.4858479368
51	0.4831686845
52	0.4811167006
53	0.4788495761
54	0.476105467
55	0.4732331053
56	0.470251684
57	0.4690394955
58	0.4670861457
59	0.4647652361
60	0.4620632221
61	0.4601998795
62	0.4590261891
63	0.4574543653
64	0.4551208665
65	0.4525308908
66	0.4507603092
67	0.4483944382
68	0.4460233966
69	0.4428260761
70	0.440368006
71	0.4377900013
72	0.4362187675
73	0.4348776521
74	0.4328067562
75	0.4308419412
76	0.4280072628
77	0.4264341463
78	0.4242003495
79	0.4218149203
80	0.4193675847
81	0.4176110255
82	0.4163555897
83	0.4141620334
84	0.4123972406
85	0.4109036216
86	0.4092702848
87	0.4081047718
88	0.4062317906
89	0.404476243
90	0.4022562438
91	0.4007581848
92	0.3981578398
93	0.3958156017
94	0.3944480432
95	0.3926512435
96	0.3909122193
97	0.3885949909
98	0.3873961503
99	0.3866424842
100	0.3844107668
101	0.3824242018
102	0.3812852441
103	0.3803496528
104	0.3787983987
105	0.3776319585
106	0.3756743654
107	0.3741077683
108	0.3729132552
109	0.3714070469
110	0.3697041605
111	0.3683305322
112	0.3665965943
113	0.3657279392
114	0.365121016
115	0.3636236876
116	0.3610558554
117	0.3593911861
118	0.3579807457
119	0.3563816921
120	0.3556681259
121	0.3541655988
122	0.3531724006
123	0.3521503708
124	0.3509590332
125	0.349665352
126	0.3483913134
127	0.3475954116
128	0.3463844032
129	0.3453130845
130	0.3438630218
131	0.3428879768
132	0.3417048164
133	0.3403895819
134	0.3394125698
135	0.3388838513
136	0.3380757256
137	0.3367928071
138	0.3354701539
139	0.3339734156
140	0.3331788908
141	0.3326589117
142	0.3312381583
143	0.3298026238
144	0.3283587995
145	0.3274654438
146	0.3262462581
147	0.3257455562
148	0.3250129377
149	0.3242794198
150	0.3231345329
151	0.3216845546
152	0.3209515707
153	0.3194769197
154	0.3180831993
155	0.3172262905
156	0.3167049907
157	0.3160228413
158	0.3147031668
159	0.3137583583
160	0.313446354
161	0.3124543079
162	0.3112032558
163	0.3103479206
164	0.3095965025
165	0.3087362216
166	0.3073430351
167	0.3062146434
168	0.3047515701
169	0.3041294442
170	0.3035235607
171	0.3030977758
172	0.302086593
173	0.301333517
174	0.3003592869
175	0.2988853103
176	0.2981975689
177	0.2972225519
178	0.2963941374
179	0.2953858209
180	0.2943830683
181	0.2935266091
182	0.2925074456
183	0.291627213
184	0.2908458394
185	0.2904531574
186	0.2900527757
187	0.2889881731
188	0.2880763551
189	0.2875035182
190	0.2869718492
191	0.2863019799
192	0.2854084275
193	0.2846829465
194	0.2839752815
195	0.2827273768
196	0.2821192733
197	0.2811880656
198	0.2805050451
199	0.2801189949
200	0.2795153314
201	0.2788733382
202	0.2782599518
203	0.277997124
204	0.2771140532
205	0.2767858628
206	0.2762236762
207	0.2758847512
208	0.2752016745
209	0.2744272418
210	0.2738534214
211	0.2734169863
212	0.2727529621
213	0.2723550533
214	0.2716081595
215	0.2709193783
216	0.2704690895
217	0.2700030641
218	0.2695583393
219	0.268695192
220	0.2679944398
221	0.2675302973
222	0.2670148986
223	0.2659280963
224	0.2654576029
225	0.2648327232
226	0.2644292786
227	0.263656279
228	0.2629452981
229	0.2623845727
230	0.2615622842
231	0.2607374946
232	0.2603048532
233	0.2593502375
234	0.2588054453
235	0.2583249761
236	0.2580025183
237	0.2574890305
238	0.2570273327
239	0.2567357297
240	0.2558180667
241	0.2551135209
242	0.254193104
243	0.253553106
244	0.2532342732
245	0.2529358697
246	0.2521081858
247	0.251464366
248	0.2506688576
