iter	Passed	Remaining
0	18	18942
1	38	19195
2	151	50219
3	210	52437
4	244	48565
5	273	45244
6	292	41456
7	310	38536
8	326	35945
9	341	33799
10	355	31979
11	371	30600
12	406	30866
13	438	30903
14	472	31007
15	510	31377
16	536	31029
17	554	30263
18	572	29578
19	590	28910
20	615	28693
21	657	29221
22	712	30283
23	726	29532
24	737	28747
25	762	28559
26	834	30064
27	877	30466
28	892	29883
29	902	29166
30	916	28647
31	930	28151
32	948	27789
33	963	27368
34	979	27003
35	993	26610
36	1007	26218
37	1021	25860
38	1037	25568
39	1089	26148
40	1123	26281
41	1214	27701
42	1287	28652
43	1372	29812
44	1435	30465
45	1533	31809
46	1604	32527
47	1677	33279
48	1741	33792
49	1782	33861
50	1843	34309
51	1866	34029
52	1916	34251
53	1934	33888
54	1961	33708
55	1978	33356
56	1998	33069
57	2014	32711
58	2031	32403
59	2045	32046
60	2060	31724
61	2074	31377
62	2089	31072
63	2102	30745
64	2113	30401
65	2128	30128
66	2151	29963
67	2161	29629
68	2178	29393
69	2193	29142
70	2208	28893
71	2221	28630
72	2237	28410
73	2249	28147
74	2267	27962
75	2280	27728
76	2291	27463
77	2304	27239
78	2317	27022
79	2335	26860
80	2348	26640
81	2359	26409
82	2372	26212
83	2387	26030
84	2403	25871
85	2416	25686
86	2430	25506
87	2443	25325
88	2454	25120
89	2479	25074
90	2494	24918
91	2508	24761
92	2519	24569
93	2532	24407
94	2547	24270
95	2561	24118
96	2571	23937
97	2586	23808
98	2597	23642
99	2613	23525
100	2631	23426
101	2646	23302
102	2660	23165
103	2671	23015
104	2691	22938
105	2710	22862
106	2723	22733
107	2744	22668
108	2758	22544
109	2771	22422
110	2786	22320
111	2799	22197
112	2811	22065
113	2828	21986
114	2840	21862
115	2853	21748
116	2868	21644
117	2880	21527
118	2898	21455
119	2911	21349
120	2926	21262
121	2948	21221
122	2967	21160
123	2986	21099
124	3017	21120
125	3034	21047
126	3050	20970
127	3067	20895
128	3081	20807
129	3096	20719
130	3113	20654
131	3125	20551
132	3135	20441
133	3156	20398
134	3166	20291
135	3195	20302
136	3212	20238
137	3233	20198
138	3247	20113
139	3262	20038
140	3277	19967
141	3297	19923
142	3313	19860
143	3328	19786
144	3342	19708
145	3357	19640
146	3370	19559
147	3385	19487
148	3398	19407
149	3410	19328
150	3424	19256
151	3439	19188
152	3452	19112
153	3461	19016
154	3481	18981
155	3497	18921
156	3510	18847
157	3526	18793
158	3548	18767
159	3557	18679
160	3571	18613
161	3589	18568
162	3603	18501
163	3620	18453
164	3637	18408
165	3652	18348
166	3664	18280
167	3678	18218
168	3693	18160
169	3706	18098
170	3721	18040
171	3734	17979
172	3759	17972
173	3769	17894
174	3782	17830
175	3798	17783
176	3812	17726
177	3828	17682
178	3846	17642
179	3859	17582
180	3872	17521
181	3882	17450
182	3895	17393
183	3907	17330
184	3925	17293
185	3937	17230
186	3948	17164
187	3966	17130
188	3978	17073
189	3993	17025
190	4006	16969
191	4021	16924
192	4031	16857
193	4046	16813
194	4063	16776
195	4080	16736
196	4095	16695
197	4111	16654
198	4124	16603
199	4136	16547
200	4150	16497
201	4161	16439
202	4174	16390
203	4192	16357
204	4207	16317
205	4222	16274
206	4236	16230
207	4250	16186
208	4262	16130
209	4289	16137
210	4316	16140
211	4337	16122
212	4357	16099
213	4379	16085
214	4391	16035
215	4405	15991
216	4434	16002
217	4454	15978
218	4471	15946
219	4484	15900
220	4500	15864
221	4516	15828
222	4535	15801
223	4549	15760
224	4563	15719
225	4577	15678
226	4590	15631
227	4601	15578
228	4615	15538
229	4629	15498
230	4641	15452
231	4658	15422
232	4670	15375
233	4682	15329
234	4697	15293
235	4712	15255
236	4740	15260
237	4759	15238
238	4776	15208
239	4803	15210
240	4819	15179
241	4836	15147
242	4860	15141
243	4889	15149
244	4907	15122
245	4921	15083
246	4943	15069
247	4956	15030
248	4971	14995
249	4987	14961
250	5001	14925
251	5022	14907
252	5038	14877
253	5053	14840
254	5070	14814
255	5084	14776
256	5104	14757
257	5118	14719
258	5131	14681
259	5141	14633
260	5163	14620
261	5173	14572
262	5201	14575
263	5217	14546
264	5235	14522
265	5260	14515
266	5275	14482
267	5286	14438
268	5307	14424
269	5327	14404
270	5338	14359
271	5348	14316
272	5364	14284
273	5377	14248
274	5390	14211
275	5401	14168
276	5414	14132
277	5428	14099
278	5442	14064
279	5454	14025
280	5467	13989
281	5480	13952
282	5493	13918
283	5506	13882
284	5520	13848
285	5530	13807
286	5544	13774
287	5559	13743
288	5572	13710
289	5592	13692
290	5608	13665
291	5621	13631
292	5634	13594
293	5664	13602
294	5688	13593
295	5704	13568
296	5722	13545
297	5739	13520
298	5757	13498
299	5774	13473
300	5789	13445
301	5803	13412
302	5818	13384
303	5834	13358
304	5851	13332
305	5865	13303
306	5883	13280
307	5898	13252
308	5913	13224
309	5926	13191
310	5939	13157
311	5961	13145
312	5971	13106
313	5987	13080
314	6017	13085
315	6050	13097
316	6079	13098
317	6115	13116
318	6134	13096
319	6150	13069
320	6166	13044
321	6183	13020
322	6199	12993
323	6214	12966
324	6236	12952
325	6253	12928
326	6264	12892
327	6278	12863
328	6293	12835
329	6307	12805
330	6319	12773
331	6329	12736
332	6343	12706
333	6357	12676
334	6372	12649
335	6393	12634
336	6407	12605
337	6420	12575
338	6432	12542
339	6443	12507
340	6457	12478
341	6470	12449
342	6482	12417
343	6498	12393
344	6508	12357
345	6538	12359
346	6598	12417
347	6623	12409
348	6636	12378
349	6647	12344
350	6658	12311
351	6669	12277
352	6688	12259
353	6716	12256
354	6736	12240
355	6750	12211
356	6763	12182
357	6786	12169
358	6821	12179
359	6841	12162
360	6851	12128
361	6865	12100
362	6879	12071
363	6900	12057
364	6916	12032
365	6931	12006
366	6944	11978
367	6959	11951
368	6969	11918
369	6981	11887
370	6994	11858
371	7021	11854
372	7032	11820
373	7046	11794
374	7058	11764
375	7071	11735
376	7080	11700
377	7096	11676
378	7111	11651
379	7127	11629
380	7155	11625
381	7167	11595
382	7178	11565
383	7191	11536
384	7203	11507
385	7224	11491
386	7238	11465
387	7250	11436
388	7261	11406
389	7274	11378
390	7300	11370
391	7309	11337
392	7323	11311
393	7339	11288
394	7355	11265
395	7369	11240
396	7382	11213
397	7398	11190
398	7423	11181
399	7436	11154
400	7448	11126
401	7461	11099
402	7472	11069
403	7486	11044
404	7500	11019
405	7518	11000
406	7537	10982
407	7562	10973
